ID,Year_Birth,Education,Marital_Status,Income,Children,Wines_Products,Fruits_Products,Meat_Products,Fish_Products,Sweet_Products,PurchasesFromCatalog,PurchasesFromStore,PurchasesFromWeb,Deals_Claimed
387,1978,Graduate,Married,77583,0,372,23,384,250,12,5,9,4,1
388,1975,Graduate,Married,61456,1,563,76,384,84,192,10,13,6,4
389,1973,PhD,Together,57906,1,243,11,119,10,3,2,8,4,3
390,1955,Graduate,Married,50737,1,78,0,11,0,0,0,4,2,1
391,1949,Graduate,Together,38823,1,70,0,11,2,8,1,3,2,1
392,1969,PhD,Together,53374,1,896,10,101,13,10,2,9,4,6
393,1969,Graduate,Married,72460,0,377,10,540,80,30,5,7,3,1
394,1947,Secondary,Married,81044,0,450,26,535,73,98,6,10,5,1
395,1972,Graduate,Together,84906,0,997,15,414,99,30,6,12,5,1
396,1969,PhD,Married,33581,2,11,0,5,0,0,0,2,1,1
397,1974,Secondary,Married,20130,0,0,6,3,7,6,0,3,1,1
398,1990,Graduate,Single,96843,0,448,71,951,40,17,11,10,6,1
399,1946,PhD,Single,82800,0,1006,22,115,59,68,6,12,7,1
400,1957,Graduate,Together,50116,2,54,0,10,0,0,0,4,1,2
401,1964,Secondary,Married,62905,1,166,75,96,119,107,2,8,7,3
402,1959,Graduate,Divorced,63033,0,194,61,480,225,112,4,8,3,1
403,1982,Graduate,Together,45203,2,35,3,67,10,8,1,3,3,1
404,1959,PhD,Divorced,62859,1,1063,89,102,16,12,4,6,9,4
405,1952,Graduate,Single,53700,1,263,5,233,69,41,5,8,5,4
406,1975,Master,Married,7500,1,3,1,10,3,2,0,3,2,3
407,1969,Graduate,Together,76653,0,736,63,946,219,189,7,11,4,1
408,1958,PhD,Widow,80995,1,860,28,409,73,56,9,4,8,1
409,1971,Graduate,Widow,30372,2,15,0,12,7,3,0,3,2,3
410,1955,PhD,Married,22554,2,27,0,10,0,0,0,4,2,4
411,1972,Graduate,Together,26290,2,15,8,16,11,5,0,4,2,4
412,1976,Graduate,Married,56939,1,256,34,103,90,29,3,10,3,2
413,1960,Secondary,Widow,46779,2,12,1,3,0,0,1,2,0,1
414,1952,Graduate,Widow,40049,1,13,6,7,0,3,0,3,1,1
415,1954,Graduate,Single,46344,2,11,1,6,2,1,1,2,1,2
416,1972,Graduate,Married,80134,1,1218,16,272,104,0,3,6,5,2
417,1970,Graduate,Married,70617,0,353,61,753,40,46,3,7,3,1
418,1977,Secondary,Together,82326,0,938,142,754,159,81,10,6,5,1
419,1978,Graduate,Together,41154,1,44,2,11,2,3,0,4,1,1
420,1975,Secondary,Married,37284,2,11,1,2,2,1,0,3,0,1
421,1965,Secondary,Divorced,64176,1,1215,33,249,64,116,9,8,8,8
422,1977,Graduate,Divorced,82582,0,510,120,550,156,40,9,7,4,1
423,1970,PhD,Married,23626,1,27,2,14,0,0,1,3,3,3
424,1969,Master,Married,43641,2,57,2,51,4,2,1,4,2,3
425,1983,Graduate,Married,69520,0,627,120,414,121,80,6,5,9,1
426,1973,Master,Married,27159,2,17,0,3,0,0,0,3,1,2
427,1986,Graduate,Married,32880,1,8,4,15,7,6,0,3,1,1
428,1969,Graduate,Married,26304,1,4,1,5,2,0,0,2,1,1
429,1965,Master,Together,45143,1,202,5,74,11,5,1,5,6,3
430,1955,Graduate,Single,57959,1,430,16,322,43,24,7,11,4,5
431,1985,Secondary,Single,33812,1,4,17,19,30,24,1,3,2,2
432,1970,Graduate,Single,33697,1,4,3,7,0,3,0,2,1,1
433,1954,Master,Together,36634,1,213,9,76,4,3,2,5,5,3
434,1962,Graduate,Single,50785,2,64,1,21,0,1,1,3,2,2
435,1985,Graduate,Single,22327,1,5,4,8,2,0,0,3,1,1
436,1954,PhD,Married,62670,1,539,30,92,80,46,3,13,5,1
437,1975,Master,Married,37368,1,3,2,11,2,2,0,2,1,1
438,1963,PhD,Together,66313,1,625,7,99,10,22,3,12,6,2
439,1954,Graduate,Married,46734,1,110,5,137,26,23,1,5,6,2
440,1960,Graduate,Divorced,58401,1,10,0,11,17,29,2,2,1,1
441,1978,Secondary,Married,47025,1,508,11,59,23,5,1,6,11,5
442,1972,Graduate,Together,77044,1,625,38,242,50,34,11,11,7,2
443,1971,Graduate,Divorced,29819,1,9,1,24,2,1,0,3,3,3
444,1972,Graduate,Married,59666,2,623,53,178,23,17,2,8,3,7
445,1972,Graduate,Married,33622,2,39,1,22,3,4,0,4,2,3
446,1972,Graduate,Together,30261,3,8,0,5,0,3,0,3,0,1
447,1953,Graduate,Single,69267,0,778,44,499,95,73,4,5,3,2
448,1952,Master,Together,43776,2,177,2,71,3,2,2,4,5,6
449,1976,Graduate,Married,53359,2,173,4,30,3,6,1,4,5,4
450,1949,Graduate,Together,54591,1,376,4,94,12,9,2,8,6,3
451,1982,Graduate,Married,69109,0,823,25,459,124,29,6,7,6,1
452,1976,Graduate,Married,58597,2,490,0,184,10,28,4,9,7,12
453,1969,Graduate,Single,81657,0,364,40,425,158,60,4,8,3,1
454,1962,Graduate,Together,62568,1,362,17,398,80,35,3,5,5,3
455,1969,PhD,Single,66582,0,789,25,420,16,38,8,9,2,1
456,1964,PhD,Divorced,78825,0,483,74,114,169,37,10,13,5,1
457,1970,Graduate,Married,28164,1,3,18,26,11,8,0,4,2,3
458,1954,Graduate,Divorced,72071,1,531,69,300,150,138,4,8,5,3
459,1990,Graduate,Married,18222,0,12,4,19,12,6,0,3,2,1
460,1974,PhD,Together,28440,1,38,1,24,0,0,0,3,2,1
461,1979,Graduate,Together,30545,1,4,12,15,19,7,0,3,2,2
462,1971,Graduate,Together,34600,2,199,33,60,8,3,2,5,5,5
463,1960,Graduate,Together,62807,1,526,28,135,10,21,3,12,5,3
464,1975,PhD,Married,40233,1,80,4,46,0,17,1,5,2,5
465,1975,Basic,Married,30801,1,8,4,5,15,2,0,3,1,2
466,1955,Master,Single,51124,2,26,1,11,0,1,0,3,1,2
467,1965,Graduate,Married,61482,0,48,58,68,16,66,2,6,3,1
468,1973,Graduate,Married,25410,1,2,2,4,13,13,0,4,1,1
469,1956,Secondary,Divorced,31395,2,23,1,25,0,8,1,3,2,4
470,1966,Graduate,Married,61286,1,356,0,107,19,9,1,8,7,2
471,1974,Master,Married,83891,1,217,38,350,111,85,7,10,4,1
472,1958,Secondary,Single,75342,1,204,97,97,21,118,2,10,5,1
473,1969,Secondary,Married,46831,2,22,2,10,6,4,2,2,1,2
474,1986,Secondary,Together,20491,0,5,4,5,4,2,1,2,0,1
475,1971,Master,Married,35178,1,23,1,13,2,2,1,2,1,1
476,1974,PhD,Married,38410,0,153,64,123,116,64,2,9,5,2
477,1987,Master,Single,73454,0,982,73,351,56,14,4,6,2,1
478,1953,Graduate,Married,37716,1,97,1,41,6,2,1,3,4,2
479,1978,Master,Married,88097,1,163,0,480,0,126,5,8,6,1
480,1976,Graduate,Married,24027,1,14,7,11,11,0,0,3,2,2
481,1951,Master,Divorced,57530,1,50,1,27,6,7,1,4,1,1
482,1977,Secondary,Single,31878,1,23,4,5,10,5,0,4,1,1
483,1983,PhD,Together,21840,1,17,0,9,0,0,0,3,1,1
484,1955,PhD,Single,55521,3,416,0,26,0,0,3,6,6,9
485,1970,Master,Single,29548,1,7,1,6,3,1,1,2,1,1
486,1961,Basic,Married,28249,0,1,9,7,2,14,0,3,2,1
487,1953,Graduate,Together,61278,1,111,3,28,2,6,1,4,3,2
488,1955,Master,Divorced,70638,0,1016,12,215,16,12,5,10,4,1
489,1987,Graduate,Married,17323,0,3,14,17,6,1,0,3,1,1
490,1968,Graduate,Together,56534,1,691,7,61,10,0,4,7,10,4
491,1977,PhD,Married,61996,1,1050,12,144,0,0,4,8,6,3
492,1957,Graduate,Married,71113,1,495,33,255,11,33,7,9,6,4
493,1972,PhD,Married,29791,1,14,0,6,0,0,0,3,2,2
494,1972,Graduate,Divorced,26759,1,25,3,16,8,5,1,3,2,2
495,1959,Graduate,Widow,76320,1,526,35,214,69,53,3,4,6,2
496,1953,Graduate,Single,40464,1,424,17,118,7,23,2,8,8,6
497,1959,Master,Together,82576,0,1206,55,445,168,18,4,12,2,1
498,1987,Graduate,Married,75794,0,754,160,625,63,32,5,12,7,1
499,1960,Master,Married,54197,1,162,6,37,6,13,3,6,1,2
500,1974,PhD,Married,34596,1,14,0,2,0,0,0,2,1,1
501,1954,Secondary,Single,42607,1,156,29,56,30,32,2,7,3,2
502,1982,Graduate,Together,71853,0,358,108,413,141,97,8,6,2,1
503,1954,Graduate,Married,50501,2,297,0,38,13,0,4,4,5,7
504,1979,Master,Single,16653,1,5,7,31,15,4,1,3,2,3
505,1966,Graduate,Single,43602,2,19,5,12,10,3,1,2,3,3
506,1971,Graduate,Divorced,40851,2,23,1,7,0,4,1,2,1,1
507,1964,Graduate,Single,18701,2,12,4,2,10,6,0,4,2,4
508,1972,Master,Married,76234,1,519,50,167,130,0,3,11,8,1
509,1993,Graduate,Single,74293,0,375,152,335,93,91,4,6,5,1
510,1958,Master,Single,75154,1,543,10,205,160,143,3,6,6,1
511,1956,Graduate,Together,46097,1,72,24,68,65,4,1,6,3,5
512,1990,Graduate,Single,34412,1,52,12,50,4,36,0,3,5,3
513,1984,Secondary,Married,65370,0,71,22,112,138,89,3,13,2,1
514,1969,Graduate,Married,52413,2,295,106,271,75,98,4,12,6,4
515,1969,Basic,Together,22390,0,0,1,4,15,1,0,2,1,1
516,1967,Graduate,Married,42664,1,21,0,3,0,0,0,3,1,1
517,1976,Graduate,Single,47025,1,254,7,108,20,0,3,5,6,3
518,1976,Master,Together,30560,1,9,1,5,4,5,0,3,1,1
519,1956,Graduate,Married,71866,1,184,178,178,103,39,3,10,6,1
520,1966,Master,Divorced,29435,2,70,3,37,4,2,2,2,3,4
521,1981,Master,Single,36143,1,12,0,1,0,0,1,2,0,1
522,1973,Graduate,Together,57100,0,181,21,69,39,3,3,6,3,1
523,1955,Graduate,Single,80317,0,536,11,387,149,91,4,10,3,1
524,1978,Graduate,Married,73807,1,366,124,156,71,78,5,11,5,2
525,1958,PhD,Widow,33438,2,62,1,16,3,2,1,4,2,4
526,1988,PhD,Married,67546,0,864,134,768,150,38,10,5,4,1
527,1981,Graduate,Single,72066,0,1003,34,536,134,51,6,6,4,1
528,1961,PhD,Married,54456,1,352,0,27,10,0,1,7,6,3
529,1958,Master,Single,30523,3,5,0,3,0,0,0,2,1,1
530,1977,Graduate,Married,72117,1,707,20,171,65,60,7,9,9,1
531,1992,Secondary,Married,87000,0,196,25,607,67,17,6,7,4,1
532,1963,PhD,Single,48918,2,52,0,9,0,0,0,4,1,2
533,1975,Graduate,Married,33183,1,7,5,39,17,15,0,3,4,2
534,1967,Graduate,Married,22574,3,25,0,8,2,0,0,3,2,2
535,1955,Graduate,Married,65210,1,626,0,70,0,7,3,8,9,2
536,1976,Graduate,Together,78416,1,453,38,279,188,38,7,10,7,2
537,1972,PhD,Married,43269,1,10,1,7,0,0,0,2,1,1
538,1980,Graduate,Single,51766,1,60,51,87,6,20,2,4,4,2
539,1983,Graduate,Single,24072,1,9,1,6,3,0,0,2,1,1
540,1949,PhD,Single,26518,2,20,1,28,3,3,0,3,2,3
541,1973,Graduate,Married,49094,1,376,0,38,11,8,3,6,6,5
542,1988,Secondary,Divorced,35388,1,6,4,7,4,3,0,3,1,1
543,1978,Graduate,Married,67023,0,444,44,382,11,8,7,13,3,1
544,1974,Master,Together,46014,2,410,0,59,19,9,1,8,7,10
545,1947,PhD,Married,67472,1,162,31,127,8,17,2,7,4,2
546,1975,Secondary,Divorced,67893,1,711,28,142,49,18,2,9,3,2
547,1971,Master,Divorced,74290,1,1121,0,72,0,12,8,10,10,4
548,1963,Graduate,Divorced,68118,1,595,23,123,10,23,9,4,8,2
549,1985,Graduate,Single,72903,0,1067,138,750,0,19,5,8,7,1
550,1963,Graduate,Single,49980,1,104,1,54,13,9,1,5,3,2
551,1974,PhD,Married,78128,1,934,24,230,16,24,4,6,8,2
552,1981,Graduate,Divorced,28510,2,44,5,19,0,4,0,4,2,3
553,1975,PhD,Single,52614,1,789,0,142,12,9,4,8,2,2
554,1952,Master,Together,55951,1,1241,0,80,0,13,6,11,3,3
555,1976,Graduate,Single,20180,0,18,42,24,15,20,1,4,2,1
556,1978,Master,Single,68092,0,852,60,207,78,36,6,10,2,2
557,1978,Graduate,Divorced,71847,0,737,21,106,55,63,7,9,6,0
558,1982,Master,Together,23661,1,18,0,4,0,0,0,3,1,1
559,1974,PhD,Single,68352,1,614,16,132,43,33,5,9,8,3
560,1970,Master,Together,79419,0,751,127,687,20,15,6,4,4,1
561,1964,Graduate,Single,45906,1,305,3,27,4,3,4,4,5,2
562,1955,PhD,Together,46015,2,38,0,2,0,0,0,3,1,1
563,1954,Master,Divorced,62637,1,104,12,48,4,12,2,5,2,1
564,1977,Master,Single,36273,1,29,3,30,3,2,0,3,3,2
565,1978,Graduate,Married,28442,2,19,3,10,11,8,1,4,2,3
566,1982,Graduate,Married,42081,1,175,10,110,54,6,3,4,6,2
567,1979,Graduate,Together,75507,0,709,93,374,104,80,6,6,8,1
568,1981,Graduate,Married,26872,0,3,10,8,3,16,1,2,1,1
569,1943,PhD,Divorced,48948,0,437,8,206,160,49,10,5,7,2
570,1976,Graduate,Together,85606,1,717,42,864,219,30,7,9,6,2
571,1952,Master,Single,8820,2,12,0,13,4,2,0,3,3,4
572,1976,Graduate,Married,30772,2,7,2,4,2,1,0,2,1,1
573,1957,Master,Together,66636,0,291,10,689,84,10,4,9,3,1
574,1992,Graduate,Single,83528,0,530,117,678,134,44,10,8,4,1
575,1976,Graduate,Divorced,30992,1,17,0,14,7,3,0,3,1,1
576,1966,Graduate,Together,37758,2,27,2,10,0,0,0,3,1,2
577,1962,PhD,Widow,71670,0,1462,16,128,0,0,3,6,5,1
578,1989,Master,Together,88420,0,957,153,612,99,95,7,8,4,1
579,1965,Graduate,Married,69139,1,86,12,75,33,15,1,5,4,1
580,1958,Graduate,Single,49967,1,212,6,69,4,12,1,5,6,3
581,1984,Graduate,Married,24570,1,28,34,62,11,14,0,4,4,3
582,1963,Master,Together,38620,0,112,17,44,34,22,5,3,2,1
583,1983,PhD,Married,50150,0,135,46,92,65,61,2,7,5,2
584,1966,Graduate,Married,54198,2,185,0,28,3,2,1,6,3,6
585,1978,Graduate,Divorced,63693,1,587,43,337,42,87,6,9,11,3
586,1975,PhD,Together,61905,1,167,0,43,6,2,2,4,4,2
587,1990,Graduate,Married,18351,0,1,12,9,0,14,0,3,2,1
588,1984,PhD,Married,70643,0,1218,107,304,23,143,8,4,5,1
589,1972,PhD,Married,59973,0,130,30,168,20,34,4,7,3,1
590,1975,Graduate,Together,66653,2,452,18,102,16,18,2,12,4,4
591,1978,PhD,Married,41014,1,7,2,6,2,0,0,2,1,1
592,1974,Graduate,Married,45837,2,215,13,87,17,17,2,5,6,5
593,1970,Graduate,Divorced,44267,2,183,5,65,3,5,2,4,5,5
594,1981,Secondary,Together,19414,1,2,3,12,3,5,0,3,1,1
595,1961,Graduate,Single,82332,0,830,59,968,51,79,3,12,5,1
596,1976,Graduate,Together,71322,1,121,24,124,24,15,1,7,4,1
597,1977,Master,Married,22701,1,2,4,9,0,4,0,3,1,1
598,1981,Graduate,Together,38547,1,6,1,10,0,1,0,2,1,1
599,1983,Graduate,Married,30096,1,5,3,11,12,5,0,3,2,1
600,1962,Master,Divorced,59432,1,317,25,265,25,19,3,11,5,3
601,1956,Graduate,Single,91249,0,1324,27,119,71,108,9,6,7,0
602,1982,Secondary,Single,74116,0,871,111,704,145,55,4,10,4,1
603,1957,Graduate,Together,26091,2,15,10,19,8,17,1,3,2,3
604,1957,PhD,Single,40737,3,11,0,4,0,0,0,2,1,1
605,1973,Graduate,Married,32300,1,13,3,6,6,5,0,3,1,1
606,1957,Master,Together,68148,0,389,66,408,37,57,4,6,4,1
607,1959,Graduate,Together,87771,1,1492,38,287,50,57,10,4,5,1
608,1980,Graduate,Single,81741,0,249,153,940,58,134,6,7,6,0
609,1973,PhD,Single,46854,2,96,1,79,7,1,1,3,5,6
610,1974,PhD,Single,71466,0,412,12,546,78,182,4,10,4,1
611,1980,Graduate,Married,77353,1,275,59,107,69,101,4,8,6,2
612,1987,PhD,Married,51563,0,1166,0,48,0,0,4,10,4,1
613,1983,Graduate,Married,39922,1,29,12,59,19,1,0,4,3,2
614,1984,Master,Married,42207,1,116,11,72,3,17,1,5,4,4
615,1973,Graduate,Married,37971,1,5,4,10,2,2,0,3,1,1
616,1965,PhD,Married,62745,1,562,21,464,28,10,8,11,7,3
617,1971,Graduate,Married,70886,1,407,70,239,103,88,4,4,5,1
618,1958,Graduate,Single,68281,0,995,112,417,42,48,9,13,2,1
619,1959,Graduate,Married,35701,0,21,1,9,7,3,0,3,1,1
620,1963,Master,Together,57288,1,527,0,21,0,0,1,8,8,3
621,1978,Secondary,Together,17117,1,12,23,38,30,18,1,3,3,4
622,1976,Secondary,Together,36301,1,11,12,35,3,5,0,3,3,1
623,1955,Graduate,Divorced,49431,1,219,3,100,26,0,1,5,7,2
624,1960,PhD,Married,49154,2,206,10,67,30,27,1,8,4,6
625,1972,Secondary,Married,70932,1,200,193,100,46,185,2,12,6,2
626,1967,PhD,Divorced,26642,1,13,2,15,2,2,0,3,2,2
627,1956,Master,Married,52973,1,856,0,76,12,9,6,9,9,7
628,1952,Graduate,Married,35704,2,30,9,12,2,11,0,4,2,3
629,1973,Secondary,Married,35688,3,73,3,90,12,1,1,4,4,7
630,1967,PhD,Together,56575,2,421,5,90,0,16,3,7,7,3
631,1985,Graduate,Single,29760,1,64,4,68,7,5,1,4,3,4
632,1951,Graduate,Married,94642,0,879,143,797,106,143,7,9,5,0
633,1948,PhD,Together,66375,1,712,0,45,0,0,4,5,2,3
634,1977,Graduate,Married,42014,1,244,15,108,4,15,1,6,7,6
635,1970,Master,Divorced,55282,1,125,6,73,8,4,1,6,3,1
636,1953,Master,Married,54348,2,70,0,16,0,0,0,4,2,2
637,1992,Graduate,Married,34935,0,34,4,66,3,10,1,4,2,1
638,1967,Graduate,Divorced,70844,2,129,26,67,3,67,1,5,6,5
639,1970,Graduate,Married,69016,1,726,53,363,123,107,9,13,8,4
640,1958,PhD,Together,78952,1,1170,19,594,99,76,5,12,2,2
641,1964,Graduate,Single,45989,1,138,33,87,28,24,2,7,3,4
642,1984,Graduate,Single,36108,1,141,8,129,3,11,1,4,7,3
643,1951,Master,Married,67381,1,815,8,53,11,0,2,9,2,4
644,1968,Master,Divorced,63841,1,635,15,100,20,7,3,9,9,1
645,1975,Graduate,Married,76068,1,1115,12,128,33,12,3,4,2,1
646,1975,Graduate,Divorced,70300,1,1045,61,338,60,46,5,13,5,3
647,1955,PhD,Married,59821,1,629,0,70,0,0,2,7,11,6
648,1991,PhD,Together,68682,0,919,0,505,99,30,9,10,4,1
649,1955,Secondary,Married,72635,0,390,22,323,104,35,8,6,6,1
650,1951,Graduate,Single,80872,0,483,72,567,94,12,4,10,4,1
651,1969,Graduate,Married,14045,1,11,0,5,2,1,0,3,1,1
652,1972,Graduate,Married,56721,2,157,6,39,6,13,1,5,4,5
653,1956,Graduate,Single,60714,0,216,162,224,101,92,4,10,7,2
654,1975,PhD,Married,69283,1,674,62,134,0,26,3,13,7,4
655,1977,PhD,Divorced,34487,2,19,18,33,24,1,0,3,3,3
656,1971,PhD,Married,60585,2,267,42,309,55,42,4,9,7,10
657,1950,Graduate,Single,16813,0,4,8,11,12,2,0,3,2,1
658,1958,Graduate,Married,48192,0,1039,43,204,153,58,8,12,2,3
659,1975,Graduate,Together,55914,1,384,60,364,119,101,6,8,11,4
660,1976,PhD,Married,55424,1,462,61,184,10,53,5,9,7,4
661,1950,Graduate,Divorced,82460,0,255,47,573,52,32,3,6,5,1
662,1970,Graduate,Single,76467,1,676,161,426,210,44,5,5,2,2
663,1952,Graduate,Single,62307,1,87,13,34,10,6,0,4,4,1
664,1952,Graduate,Single,40887,2,50,4,44,10,10,1,3,3,3
665,1983,Graduate,Married,25271,1,10,1,18,10,4,1,2,1,1
666,1990,Master,Single,91172,0,162,28,818,0,28,3,7,4,0
667,1962,Graduate,Together,75072,1,583,34,309,0,22,4,8,5,2
668,1971,Master,Single,39763,1,80,1,60,4,6,1,2,5,2
669,1970,Graduate,Together,38200,2,12,0,4,0,0,0,2,1,1
670,1968,PhD,Married,38443,2,32,0,5,0,0,0,3,1,2
671,1965,Graduate,Single,66294,0,251,108,334,65,92,3,5,4,1
672,1960,Graduate,Together,19740,1,7,11,3,10,4,1,3,1,2
673,1981,Graduate,Together,31089,1,31,3,31,2,8,0,4,3,3
674,1969,Master,Together,41021,1,14,7,9,6,16,0,3,2,2
675,1954,Master,Together,60033,1,62,1,57,19,11,1,5,2,2
676,1988,Secondary,Married,16248,1,12,11,10,3,12,1,3,2,3
677,1969,PhD,Together,42731,1,159,2,51,6,2,1,5,4,3
678,1949,Graduate,Divorced,49160,1,122,21,43,25,10,1,6,3,2
679,1955,PhD,Single,49667,0,1181,26,120,17,13,10,5,5,2
680,1973,Master,Married,54108,2,539,6,91,8,6,2,9,8,13
681,1963,Graduate,Together,77226,1,631,43,239,128,76,8,12,6,2
682,1972,Graduate,Married,62710,1,441,35,83,7,29,2,12,4,4
683,1970,Graduate,Married,63684,1,575,80,428,208,93,4,8,8,3
684,1958,Master,Married,51412,1,140,3,29,4,5,2,4,3,2
685,1960,Secondary,Divorced,87305,0,345,25,501,63,138,3,8,5,1
686,1976,Graduate,Together,21675,1,4,0,16,17,4,0,3,4,3
687,1987,Basic,Single,15038,1,4,8,11,19,12,1,2,2,2
688,1978,Graduate,Single,38557,1,76,3,31,4,4,1,3,3,2
689,1962,PhD,Single,52597,1,492,0,37,7,0,3,8,6,3
690,1976,Graduate,Married,13624,1,10,2,15,2,1,0,3,2,2
691,1974,Master,Married,63206,0,750,8,125,11,8,3,6,4,1
692,1972,PhD,Single,27213,1,19,3,26,10,9,0,4,2,3
693,1986,Graduate,Single,39146,1,94,1,33,13,12,0,4,4,3
694,1995,Secondary,Single,80617,0,594,51,631,72,55,6,8,4,1
695,1977,Secondary,Together,25315,1,1,9,8,11,3,0,3,3,3
696,1969,Graduate,Married,80952,0,778,178,689,41,27,5,11,8,1
697,1971,Graduate,Single,55239,1,371,17,238,23,24,5,11,7,3
698,1973,Graduate,Widow,60208,2,488,23,71,15,0,3,7,8,11
699,1986,Master,Married,80141,0,1184,102,673,52,40,4,10,7,1
700,1965,Graduate,Divorced,30630,2,27,1,12,2,0,0,3,2,2
701,1954,Graduate,Together,39898,1,69,8,26,12,7,0,4,3,2
702,1983,Graduate,Together,78687,0,817,185,687,145,55,6,8,4,1
703,1978,Graduate,Single,28647,1,19,8,29,0,12,2,2,2,1
704,1984,PhD,Single,39684,1,19,0,35,6,4,1,2,2,2
705,1944,Master,Married,80184,0,1035,134,670,25,38,3,10,6,1
706,1959,Graduate,Divorced,52332,0,212,5,33,7,0,2,6,3,1
707,1959,Graduate,Married,61180,1,403,24,29,6,24,5,6,5,2
708,1972,Graduate,Single,44503,2,31,1,8,0,0,0,3,2,2
709,1961,PhD,Single,84865,0,1248,16,349,43,16,4,9,2,1
710,1986,PhD,Together,34320,1,4,1,9,3,0,0,2,1,1
711,1955,Master,Married,52750,1,393,0,239,90,69,7,9,5,6
712,1988,Secondary,Married,23331,1,5,36,7,0,10,0,3,3,2
713,1973,Graduate,Together,73926,0,627,91,597,159,91,5,12,6,1
714,1958,Graduate,Together,65196,2,743,19,181,12,0,6,11,7,2
715,1986,PhD,Single,69867,0,196,0,512,33,130,5,8,3,1
716,1959,Master,Widow,33051,0,100,71,243,108,94,1,8,9,3
717,1968,Graduate,Married,61314,1,378,0,189,97,172,5,12,5,2
718,1959,PhD,Married,52854,2,105,0,10,0,1,1,4,2,2
719,1956,Graduate,Together,34633,3,8,1,5,0,0,0,2,1,1
720,1968,Graduate,Married,41120,2,24,2,23,0,8,1,3,2,3
721,1955,Graduate,Married,67225,1,315,35,322,46,7,2,11,7,3
722,1955,Graduate,Together,59925,1,473,21,176,19,21,2,9,9,3
723,1951,Graduate,Married,71107,1,533,10,217,198,174,6,13,7,2
724,1979,Basic,Together,24594,1,1,3,6,10,0,0,3,1,1
725,1953,Master,Married,59354,2,295,21,78,39,13,4,7,4,1
726,1962,Graduate,Single,69627,1,231,161,215,171,30,2,11,8,2
727,1958,Basic,Single,15056,2,6,12,3,21,6,2,3,2,5
728,1974,Graduate,Married,42557,1,192,5,53,0,5,1,4,6,4
729,1963,Basic,Together,14918,1,3,3,3,15,4,0,3,1,1
730,1963,Graduate,Married,22419,0,30,3,47,19,21,2,2,3,1
731,1960,Graduate,Together,63381,1,571,50,142,33,50,5,13,4,4
732,1947,PhD,Together,73059,1,410,112,420,0,82,3,13,9,1
733,1977,Secondary,Together,20981,0,2,12,10,6,13,1,2,3,1
734,1978,Secondary,Together,63855,0,359,35,314,93,116,3,13,7,1
735,1980,Secondary,Single,31859,1,3,4,7,15,8,0,3,1,1
736,1983,PhD,Married,33569,1,16,2,18,3,0,1,2,1,1
737,1970,Graduate,Single,27242,1,3,17,26,20,1,0,3,2,2
738,1984,Graduate,Married,27255,1,22,1,11,0,1,0,3,1,1
739,1972,Graduate,Married,65685,1,642,14,49,0,7,2,9,9,1
740,1975,Graduate,Divorced,83829,0,897,161,430,186,161,7,6,4,0
741,1971,PhD,Together,49269,1,639,8,166,11,8,3,12,7,3
742,1976,Master,Single,72309,0,960,0,883,50,38,6,8,5,1
743,1952,Secondary,Widow,28457,0,24,1,108,29,29,1,4,4,1
744,1965,PhD,Divorced,57912,1,801,0,80,0,0,3,12,8,5
745,1980,Graduate,Together,44010,1,186,36,234,86,72,2,6,10,6
746,1947,PhD,Widow,68117,1,618,44,215,0,17,8,4,11,2
747,1965,Graduate,Divorced,4861,0,2,1,1,1,0,0,0,0,0
748,1971,PhD,Married,78931,0,331,197,170,58,152,8,13,2,1
749,1970,Secondary,Divorced,65706,0,918,10,129,13,0,3,12,11,1
750,1974,Master,Together,43018,1,35,4,17,7,6,2,2,2,1
751,1976,Graduate,Together,50200,2,266,6,51,8,6,1,5,7,6
752,1983,PhD,Divorced,90687,0,982,17,672,23,34,2,8,6,1
753,1946,PhD,Together,64014,3,406,0,30,0,0,2,5,8,7
754,1960,PhD,Married,77037,1,463,96,333,168,53,7,12,7,1
755,1972,PhD,Together,62220,1,799,12,375,16,12,6,5,7,5
756,1970,Graduate,Married,22979,1,16,17,19,20,21,2,2,3,3
757,1976,Graduate,Divorced,31859,1,3,1,3,8,0,0,2,1,1
758,1971,Graduate,Divorced,43300,1,91,3,52,2,1,0,4,4,3
759,1954,PhD,Married,65324,1,384,0,102,21,32,2,9,6,3
760,1966,Master,Married,49605,0,42,16,29,12,20,1,4,2,1
761,1992,Basic,Single,18746,1,2,10,11,12,9,0,3,3,2
762,1955,PhD,Single,61284,0,618,15,106,20,7,2,8,11,1
763,1976,PhD,Married,49544,1,308,0,73,0,0,1,8,5,2
764,1978,Secondary,Divorced,21282,1,1,5,8,4,8,1,2,2,2
765,1969,PhD,Married,94871,2,169,24,553,188,0,5,4,8,1
766,1954,Secondary,Married,63564,0,769,80,252,15,34,10,7,10,1
767,1975,Graduate,Together,60934,1,224,155,155,192,93,4,11,6,2
768,1959,Graduate,Married,18690,0,6,1,7,23,4,1,2,1,1
769,1962,PhD,Together,31497,1,108,1,28,13,1,1,4,3,2
770,1975,Master,Together,53253,2,216,9,57,20,9,3,5,4,7
771,1961,Graduate,Married,60544,2,201,2,43,3,5,1,5,5,4
772,1971,Graduate,Married,37150,1,167,37,64,49,34,3,6,4,8
773,1973,Graduate,Married,24639,2,20,3,16,0,4,0,4,2,3
774,1972,Graduate,Married,30675,1,10,2,16,11,2,0,3,1,1
